date,district,inflow,outflow,net_migration
2025-01-01,Aizawl,0.0,1.0,-1.0
2025-01-01,Coimbatore,1.0,0.0,1.0
2025-01-01,Gangtok,2.0,0.0,2.0
2025-01-01,Gurugram,0.0,1.0,-1.0
2025-01-01,Haridwar,0.0,1.0,-1.0
2025-01-01,Hyderabad,2.0,0.0,2.0
2025-01-01,Imphal,0.0,1.0,-1.0
2025-01-01,Jaipur,2.0,0.0,2.0
2025-01-01,Jammu,0.0,1.0,-1.0
2025-01-01,Kochi,1.0,0.0,1.0
2025-01-01,Kolkata,1.0,0.0,1.0
2025-01-01,Leh,1.0,1.0,0.0
2025-01-01,Meerut,0.0,1.0,-1.0
2025-01-01,Mumbai,1.0,0.0,1.0
2025-01-01,Port Blair,1.0,0.0,1.0
2025-01-01,Raipur,0.0,1.0,-1.0
2025-01-01,Ranchi,0.0,1.0,-1.0
2025-01-01,Shimla,1.0,0.0,1.0
2025-01-01,Siliguri,0.0,1.0,-1.0
2025-01-01,Srinagar,0.0,2.0,-2.0
2025-01-01,Vijayawada,0.0,1.0,-1.0
2025-01-02,Ahmedabad,1.0,1.0,0.0
2025-01-02,Amritsar,1.0,0.0,1.0
2025-01-02,Bengaluru,1.0,0.0,1.0
2025-01-02,Bhubaneswar,2.0,0.0,2.0
2025-01-02,Coimbatore,0.0,1.0,-1.0
2025-01-02,Cuttack,0.0,1.0,-1.0
2025-01-02,Dehradun,1.0,1.0,0.0
2025-01-02,Gangtok,0.0,1.0,-1.0
2025-01-02,Gurugram,1.0,1.0,0.0
2025-01-02,Haridwar,0.0,1.0,-1.0
2025-01-02,Hyderabad,1.0,0.0,1.0
2025-01-02,Imphal,1.0,1.0,0.0
2025-01-02,Jaipur,1.0,1.0,0.0
2025-01-02,Kanpur,2.0,0.0,2.0
2025-01-02,Ludhiana,0.0,1.0,-1.0
2025-01-02,Mumbai,1.0,2.0,-1.0
2025-01-02,Port Blair,0.0,1.0,-1.0
2025-01-02,Raipur,0.0,1.0,-1.0
2025-01-02,Siliguri,0.0,1.0,-1.0
2025-01-02,Srinagar,1.0,0.0,1.0
2025-01-02,Varanasi,1.0,0.0,1.0
2025-01-03,Ahmedabad,0.0,1.0,-1.0
2025-01-03,Aizawl,0.0,1.0,-1.0
2025-01-03,Amritsar,1.0,0.0,1.0
2025-01-03,Bengaluru,2.0,0.0,2.0
2025-01-03,Coimbatore,0.0,1.0,-1.0
2025-01-03,Dehradun,1.0,0.0,1.0
2025-01-03,Faridabad,0.0,1.0,-1.0
2025-01-03,Gaya,1.0,0.0,1.0
2025-01-03,Haridwar,0.0,2.0,-2.0
2025-01-03,Indore,2.0,1.0,1.0
2025-01-03,Jammu,1.0,0.0,1.0
2025-01-03,Jamshedpur,1.0,0.0,1.0
2025-01-03,Jodhpur,0.0,1.0,-1.0
2025-01-03,Kanpur,0.0,1.0,-1.0
2025-01-03,Kavaratti,1.0,0.0,1.0
2025-01-03,Kochi,0.0,2.0,-2.0
2025-01-03,Leh,0.0,1.0,-1.0
2025-01-03,Lucknow,1.0,0.0,1.0
2025-01-03,Ludhiana,0.0,1.0,-1.0
2025-01-03,Port Blair,1.0,0.0,1.0
2025-01-03,Raipur,0.0,1.0,-1.0
2025-01-03,Varanasi,1.0,0.0,1.0
2025-01-03,Vijayawada,0.0,1.0,-1.0
2025-01-03,Visakhapatnam,2.0,0.0,2.0
2025-01-03,Warangal,1.0,1.0,0.0
2025-01-04,Agartala,0.0,1.0,-1.0
2025-01-04,Aizawl,0.0,2.0,-2.0
2025-01-04,Amritsar,0.0,1.0,-1.0
2025-01-04,Bhopal,1.0,0.0,1.0
2025-01-04,Coimbatore,0.0,1.0,-1.0
2025-01-04,Cuttack,0.0,1.0,-1.0
2025-01-04,Faridabad,0.0,2.0,-2.0
2025-01-04,Guwahati,2.0,1.0,1.0
2025-01-04,Haridwar,1.0,0.0,1.0
2025-01-04,Hyderabad,0.0,1.0,-1.0
2025-01-04,Imphal,1.0,0.0,1.0
2025-01-04,Jaipur,2.0,0.0,2.0
2025-01-04,Jammu,1.0,1.0,0.0
2025-01-04,Jamshedpur,1.0,0.0,1.0
2025-01-04,Kanpur,0.0,1.0,-1.0
2025-01-04,Kohima,4.0,1.0,3.0
