Pincode,District,State,Latitude,Longitude
825556,Lucknow,Uttar Pradesh,26.8896,80.9881
334664,Lucknow,Uttar Pradesh,26.8649,80.9812
427979,Lucknow,Uttar Pradesh,26.8079,80.9813
143090,Lucknow,Uttar Pradesh,26.8191,80.9246
560723,Lucknow,Uttar Pradesh,26.843,80.9092
519516,Lucknow,Uttar Pradesh,26.8506,80.9869
197616,Lucknow,Uttar Pradesh,26.8547,80.9631
407989,Lucknow,Uttar Pradesh,26.896,80.9319
639337,Lucknow,Uttar Pradesh,26.8822,80.9495
376824,Kanpur,Uttar Pradesh,26.48,80.3779
251087,Kanpur,Uttar Pradesh,26.4257,80.3211
697446,Kanpur,Uttar Pradesh,26.4715,80.3112
152859,Kanpur,Uttar Pradesh,26.4596,80.344
169373,Kanpur,Uttar Pradesh,26.4678,80.3591
786486,Kanpur,Uttar Pradesh,26.4635,80.3341
408296,Kanpur,Uttar Pradesh,26.4089,80.302
337738,Kanpur,Uttar Pradesh,26.4952,80.2829
453312,Kanpur,Uttar Pradesh,26.4163,80.3739
669271,Kanpur,Uttar Pradesh,26.4485,80.3747
553611,Varanasi,Uttar Pradesh,25.2961,82.9489
530604,Varanasi,Uttar Pradesh,25.306,82.9572
150684,Varanasi,Uttar Pradesh,25.3298,83.0183
290907,Varanasi,Uttar Pradesh,25.3018,82.9871
485443,Varanasi,Uttar Pradesh,25.33,83.0169
494906,Meerut,Uttar Pradesh,28.9939,77.7445
350320,Meerut,Uttar Pradesh,28.9498,77.736
719783,Meerut,Uttar Pradesh,28.9395,77.7229
578403,Meerut,Uttar Pradesh,28.9886,77.7068
567025,Meerut,Uttar Pradesh,28.9545,77.6675
146685,Meerut,Uttar Pradesh,28.9977,77.7515
734445,Meerut,Uttar Pradesh,28.9357,77.7051
573722,Meerut,Uttar Pradesh,29.0281,77.6631
633620,Meerut,Uttar Pradesh,28.9655,77.6786
126704,Dehradun,Uttarakhand,30.2878,78.0081
707027,Dehradun,Uttarakhand,30.3113,78.0377
770931,Dehradun,Uttarakhand,30.3534,78.0116
539157,Dehradun,Uttarakhand,30.2853,78.0298
328841,Dehradun,Uttarakhand,30.2744,78.0737
794818,Dehradun,Uttarakhand,30.3164,78.0169
426858,Dehradun,Uttarakhand,30.3332,78.0163
778180,Dehradun,Uttarakhand,30.2987,78.0754
724669,Dehradun,Uttarakhand,30.2787,78.0471
710577,Dehradun,Uttarakhand,30.2877,78.0204
624760,Haridwar,Uttarakhand,29.9694,78.165
543980,Haridwar,Uttarakhand,29.9594,78.1974
253740,Haridwar,Uttarakhand,29.9419,78.1998
523082,Haridwar,Uttarakhand,29.9539,78.1283
845817,Haridwar,Uttarakhand,29.9753,78.2061
586153,Haridwar,Uttarakhand,29.8959,78.1509
480749,Haridwar,Uttarakhand,29.9812,78.1373
595232,Haridwar,Uttarakhand,29.9652,78.1749
356080,Haridwar,Uttarakhand,29.9326,78.1335
803512,Haridwar,Uttarakhand,29.9555,78.209
624953,Shimla,Himachal Pradesh,31.068,77.1397
799202,Shimla,Himachal Pradesh,31.0576,77.2216
806113,Shimla,Himachal Pradesh,31.0879,77.1692
736559,Shimla,Himachal Pradesh,31.0957,77.1846
841445,Shimla,Himachal Pradesh,31.1169,77.1791
201692,Shimla,Himachal Pradesh,31.0606,77.1463
563589,Shimla,Himachal Pradesh,31.0799,77.1421
424894,Shimla,Himachal Pradesh,31.1288,77.1308
560183,Shimla,Himachal Pradesh,31.0588,77.1669
564571,Shimla,Himachal Pradesh,31.1194,77.2021
737734,Chandigarh,Chandigarh,30.7119,76.8
235387,Chandigarh,Chandigarh,30.7462,76.7982
648966,Chandigarh,Chandigarh,30.761,76.7509
330615,Chandigarh,Chandigarh,30.7698,76.7715
260495,Chandigarh,Chandigarh,30.7011,76.7933
322641,Chandigarh,Chandigarh,30.7714,76.8226
835566,Ludhiana,Punjab,30.9474,75.8392
514848,Ludhiana,Punjab,30.9029,75.8748
544966,Ludhiana,Punjab,30.9011,75.8174
734775,Ludhiana,Punjab,30.9467,75.9053
175437,Ludhiana,Punjab,30.8746,75.8142
842813,Ludhiana,Punjab,30.8982,75.8486
329636,Amritsar,Punjab,31.6697,74.8318
629752,Amritsar,Punjab,31.6117,74.8895
264057,Amritsar,Punjab,31.6221,74.8604
620491,Amritsar,Punjab,31.6347,74.8906
455193,Amritsar,Punjab,31.6035,74.8284
542702,Gurugram,Haryana,28.4491,77.0403
266277,Gurugram,Haryana,28.5042,77.0403
578844,Gurugram,Haryana,28.4555,77.0042
133815,Gurugram,Haryana,28.4417,77.0202
546949,Gurugram,Haryana,28.4958,77.0261
495812,Gurugram,Haryana,28.4559,77.0536
627921,Gurugram,Haryana,28.4633,77.0758
339097,Gurugram,Haryana,28.4902,77.0383
502815,Gurugram,Haryana,28.4256,77.0523
173769,Gurugram,Haryana,28.4166,77.0303
411862,Faridabad,Haryana,28.3612,77.3364
232015,Faridabad,Haryana,28.3739,77.3519
231662,Faridabad,Haryana,28.4311,77.3324
550202,Faridabad,Haryana,28.458,77.3654
832535,Faridabad,Haryana,28.4133,77.2911
364151,Faridabad,Haryana,28.3927,77.3103
506048,Faridabad,Haryana,28.3808,77.3039
641160,Srinagar,Jammu and Kashmir,34.1092,74.7965
569273,Srinagar,Jammu and Kashmir,34.0424,74.7652
221738,Srinagar,Jammu and Kashmir,34.1187,74.8083
390094,Srinagar,Jammu and Kashmir,34.0954,74.7877
672545,Srinagar,Jammu and Kashmir,34.1023,74.8344
724200,Srinagar,Jammu and Kashmir,34.0428,74.7965
658466,Srinagar,Jammu and Kashmir,34.0435,74.7778
250395,Srinagar,Jammu and Kashmir,34.0989,74.8235
153159,Srinagar,Jammu and Kashmir,34.0852,74.8031
654759,Jammu,Jammu and Kashmir,32.774,74.8355
384583,Jammu,Jammu and Kashmir,32.6803,74.9063
656198,Jammu,Jammu and Kashmir,32.7221,74.8896
496318,Jammu,Jammu and Kashmir,32.7469,74.8833
311741,Jammu,Jammu and Kashmir,32.6995,74.8181
315980,Jammu,Jammu and Kashmir,32.7579,74.871
650076,Jammu,Jammu and Kashmir,32.6964,74.8378
723099,Jammu,Jammu and Kashmir,32.6777,74.8481
384541,Jammu,Jammu and Kashmir,32.7648,74.8354
418870,Leh,Ladakh,34.1862,77.5798
155906,Leh,Ladakh,34.2011,77.6092
390187,Leh,Ladakh,34.1044,77.5681
604504,Leh,Ladakh,34.1127,77.612
224064,Leh,Ladakh,34.1364,77.5463
145213,Leh,Ladakh,34.1783,77.5442
159991,Leh,Ladakh,34.1476,77.5283
302967,Mumbai,Maharashtra,19.0502,72.9258
656311,Mumbai,Maharashtra,19.0314,72.8394
470287,Mumbai,Maharashtra,19.0473,72.8816
221608,Mumbai,Maharashtra,19.081,72.8735
379932,Mumbai,Maharashtra,19.0268,72.8772
713149,Mumbai,Maharashtra,19.0398,72.8875
535663,Mumbai,Maharashtra,19.1191,72.9133
797797,Mumbai,Maharashtra,19.0591,72.8559
136688,Mumbai,Maharashtra,19.0716,72.9147
814473,Pune,Maharashtra,18.5244,73.8696
540063,Pune,Maharashtra,18.5522,73.8588
749799,Pune,Maharashtra,18.5626,73.8606
682755,Pune,Maharashtra,18.5351,73.8464
140633,Pune,Maharashtra,18.4978,73.8212
734958,Pune,Maharashtra,18.5607,73.8673
844202,Pune,Maharashtra,18.5412,73.8133
695339,Pune,Maharashtra,18.4968,73.892
124778,Pune,Maharashtra,18.5634,73.8501
483744,Nagpur,Maharashtra,21.1233,79.0565
770657,Nagpur,Maharashtra,21.1644,79.1225
678485,Nagpur,Maharashtra,21.1033,79.0598
390322,Nagpur,Maharashtra,21.1943,79.1066
826877,Nagpur,Maharashtra,21.1261,79.0886
630508,Nagpur,Maharashtra,21.1296,79.1234
582068,Nagpur,Maharashtra,21.1083,79.0404
646575,Nagpur,Maharashtra,21.1846,79.0393
846437,Ahmedabad,Gujarat,23.0199,72.5512
695920,Ahmedabad,Gujarat,22.9777,72.5555
629325,Ahmedabad,Gujarat,23.023,72.5846
347816,Ahmedabad,Gujarat,22.9805,72.5698
671553,Ahmedabad,Gujarat,22.9981,72.5246
457142,Ahmedabad,Gujarat,22.9948,72.537
365098,Ahmedabad,Gujarat,23.0124,72.566
738245,Surat,Gujarat,21.1891,72.8232
274196,Surat,Gujarat,21.2065,72.8326
701943,Surat,Gujarat,21.2157,72.8028
502542,Surat,Gujarat,21.2033,72.8074
318038,Surat,Gujarat,21.1619,72.8392
753996,Jaipur,Rajasthan,26.9296,75.8028
193665,Jaipur,Rajasthan,26.9243,75.8148
849688,Jaipur,Rajasthan,26.9293,75.7496
781377,Jaipur,Rajasthan,26.8787,75.7597
186194,Jaipur,Rajasthan,26.9346,75.8061
819172,Jaipur,Rajasthan,26.9222,75.7732
610642,Jaipur,Rajasthan,26.9594,75.7882
625524,Jaipur,Rajasthan,26.8899,75.8167
671261,Jodhpur,Rajasthan,26.2055,73.0002
571648,Jodhpur,Rajasthan,26.2791,73.0583
120008,Jodhpur,Rajasthan,26.2771,73.027
200165,Jodhpur,Rajasthan,26.2564,73.0451
801739,Jodhpur,Rajasthan,26.1989,73.0632
469882,Jodhpur,Rajasthan,26.2108,73.0319
513954,Jodhpur,Rajasthan,26.2455,73.0501
769884,Jodhpur,Rajasthan,26.2022,73.01
378957,Jodhpur,Rajasthan,26.267,73.0732
560027,Jodhpur,Rajasthan,26.198,73.0017
138075,Panaji,Goa,15.5281,73.8243
112053,Panaji,Goa,15.4562,73.8107
369475,Panaji,Goa,15.5382,73.8522
496451,Panaji,Goa,15.471,73.8775
389049,Panaji,Goa,15.4949,73.8645
118193,Panaji,Goa,15.4963,73.8532
546772,Kolkata,West Bengal,22.6033,88.3553
707323,Kolkata,West Bengal,22.6205,88.3515
783927,Kolkata,West Bengal,22.5821,88.3961
208896,Kolkata,West Bengal,22.6087,88.3157
309251,Kolkata,West Bengal,22.5365,88.4139
623967,Siliguri,West Bengal,26.7255,88.3624
520008,Siliguri,West Bengal,26.7596,88.3992
671237,Siliguri,West Bengal,26.7499,88.3504
837390,Siliguri,West Bengal,26.6839,88.3734
695791,Siliguri,West Bengal,26.7399,88.4198
322939,Siliguri,West Bengal,26.7392,88.4128
530301,Siliguri,West Bengal,26.7013,88.3864
467696,Siliguri,West Bengal,26.6832,88.4322
112348,Siliguri,West Bengal,26.7574,88.3827
